category,name,name_ar,description,description_ar,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
shopping,Al Tijaria Tower Lobby Mall,,,,"Cairo St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,info@altijaria.com,965 2296 8966,https://www.altijaria.com,29.3702247,47.9224588,1,1.jgp,2.jgp,3.jpg
shopping,Adidas,,,,"159 St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,support@adidas.com.kw,971 4 5613114,https://shop.adidas.com.kw,29.3790356,47.9232477,2,1.jgp,2.jgp,3.jpg
shopping,The Avenues,,,,Kuwait,,kuwait,Kuwait city,KW,marketing@the-avenues.com,965 2259 7777,http://the-avenues.com,29.3020807,47.8649328,3,1.jgp,2.jgp,3.jpg
shopping,Dananeer,,,,"Al-Shuhada St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,info@dananeerq8.com,965 2299 7662,https://www.dananeer-kuwait.com/,29.3771737,47.9199248,4,1.jgp,2.jgp,3.jpg
shopping,Monnalisa,,,,"Beirut Street, Hawally Basement Floor, Kuwait City, Kuwait",,Hawally,Kuwait city,KW,sales@momentsgroup.com,965 2262 5434,https://www.monnalisa.eu/it/shop-kuwait/,29.3762097,47.9070968,5,1.jgp,2.jgp,3.jpg
shopping,Paul & Shark,,,,"Omar Bin Al Khattab St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,damaspa@certimprese.it,965 2299 7680,http://www.paulshark.it/,29.3770546,47.9202876,6,1.jgp,2.jgp,3.jpg
shopping,Flowers Kuwait,,,,"Mubarak Al Kabeer St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,florists@arabworldflowers.com,961 76 684 284,http://www.flowerskuwait.net/,29.3785671,47.905006,7,1.jgp,2.jgp,3.jpg
Education,Dasman Model School,,,,Bin Misbah Street Block 3 Sharq Kuwait City Al Asimah? Kuwait,,kuwait,Kuwait city,KW,info@dasmanschool.com.kw,965 2227 7377,http://dbs.edu.kw,29.3879885,47.9221641,8,1.jgp,2.jgp,3.jpg
Education,American School of Kuwait,,,,Kuwait,,kuwait,Kuwait city,KW,info@ask.edu.kw,965 2266 4341,http://www.ask.edu.kw/,29.3312186,47.9643887,9,1.jgp,2.jgp,3.jpg
Education,The English School for Girls,,,,"Kuwait City, Kuwait",,kuwait,Kuwait city,KW,,965 2298 0599,http://www.esg.edu.kw/,29.2903247,48.0027789,10,1.jgp,2.jgp,3.jpg
Education,Kuwait National English School,,,,"1 Mousa Bin Nussair St, Hawally 44273, Kuwait",,Hawally,Kuwait city,KW,knes@knes.edu.kw,965 2265 6904,https://www.knes.edu.kw/,29.3383697,47.9416718,11,1.jgp,2.jgp,3.jpg
Education,Kuwait Flight Academy,,,,"Kuwait Building, Fahad Al-Salem Street, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,info@kuwaitflightacademy.com,965 9696 9443,http://www.kuwaitflightacademy.com,29.3670737,47.8970168,12,1.jgp,2.jgp,3.jpg
Education,American Baccalaureate School,,,,"Block 6? 59 Ibn Zuhair Street? Khaitan, Kuwait",,kuwait,Kuwait city,KW,info@abs.edu.kw,965 2479 1791,https://www.abs.edu.kw/,29.286442,47.9052945,13,1.jgp,2.jgp,3.jpg
Education,New Horizons,,,,"Ahmad Al Jaber St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,Courses.kuwait@newhorizons.com.kw,965 2224 0190,https://www.newhorizons.com.kw/,29.3813353,47.9150314,14,1.jgp,2.jgp,3.jpg
Education,The Universal American School,,,,"Nasser Al Roumi St, Hawally, Kuwait",,Hawally,Kuwait city,KW,eagles@uas.edu.kw,965 1822 827,http://www.uas.edu.kw,29.3423891,47.9372257,15,1.jgp,2.jgp,3.jpg
Education,TestprepKart - Kuwait City,,,,"129 St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,info@testprepkart.com,088001 23492,https://www.testprepkart.com/,29.3814925,47.9181756,16,1.jgp,2.jgp,3.jpg
